report_received_date,manufacturer,component,recall_type,potentially_affected
12/01/2022,"Chinook Motor Coach, LLC",EQUIPMENT,Vehicle,10.0
11/30/2022,"Proterra Operating Company, Inc.",ELECTRICAL SYSTEM,Vehicle,18.0
11/30/2022,Mazda North American Operations,EXTERIOR LIGHTING,Vehicle,226.0
11/29/2022,"Xos, Inc.","SERVICE BRAKES, HYDRAULIC",Vehicle,260.0
11/29/2022,"Holiday House, LLC",EQUIPMENT,Vehicle,26.0
11/29/2022,Ford Motor Company,POWER TRAIN,Vehicle,18808.0
11/29/2022,Winnebago Towable,EQUIPMENT,Vehicle,63.0
11/29/2022,Winnebago Towable,EQUIPMENT,Vehicle,6553.0
11/29/2022,Alexis Fire Equipment Company,STEERING,Vehicle,20.0
11/29/2022,MW Company LLC,WHEELS,Equipment,436.0
11/28/2022,JD E-Commerce America Limited,CHILD SEAT,Child Seat,174.0
11/28/2022,"Kia America, Inc.",AIR BAGS,Vehicle,76918.0
11/23/2022,"General Motors, LLC",AIR BAGS,Vehicle,5.0
11/23/2022,"Chrysler (FCA US, LLC)",ENGINE,Vehicle,62909.0
11/23/2022,"Nissan North America, Inc.",ELECTRICAL SYSTEM,Vehicle,125215.0
11/23/2022,"Navistar, Inc.","FUEL SYSTEM, GASOLINE",Vehicle,196.0
11/23/2022,"Navistar, Inc.",STEERING,Vehicle,25822.0
11/23/2022,"Navistar, Inc.",STEERING,Vehicle,5645.0
11/23/2022,"General Motors, LLC",EQUIPMENT,Vehicle,5861.0
11/23/2022,Honda (American Honda Motor Co.),BACK OVER PREVENTION,Vehicle,117445.0
11/23/2022,"General Motors, LLC",BACK OVER PREVENTION,Vehicle,10194.0
11/23/2022,"Chrysler (FCA US, LLC)",POWER TRAIN,Vehicle,5834.0
11/23/2022,Marion Body Works Inc.,STEERING,Vehicle,6.0
11/23/2022,"Daimler Trucks North America, LLC",ELECTRICAL SYSTEM,Vehicle,135.0
11/23/2022,"Daimler Trucks North America, LLC",ELECTRICAL SYSTEM,Vehicle,8.0
11/22/2022,Aluminum Trailer Company (ATC),EQUIPMENT,Vehicle,21.0
11/21/2022,"Winnebago Industries, Inc.",STRUCTURE,Vehicle,4521.0
11/21/2022,"Volkswagen Group of America, Inc.",ELECTRICAL SYSTEM,Vehicle,50883.0
11/21/2022,"Genuine Scooters, LLC","FUEL SYSTEM, GASOLINE",Vehicle,817.0
11/21/2022,"BMW of North America, LLC",ELECTRICAL SYSTEM,Vehicle,169.0
11/18/2022,Shyft Group,STRUCTURE,Vehicle,153.0
11/18/2022,Coach and Equipment Mfg. Corp.,"FUEL SYSTEM, OTHER",Vehicle,353.0
11/18/2022,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,521746.0
11/18/2022,E-One Incorporated,ENGINE AND ENGINE COOLING,Vehicle,8.0
11/18/2022,"Gulf States Toyota, Inc.",EQUIPMENT,Vehicle,157.0
11/18/2022,Shyft Group,SEATS,Vehicle,206.0
11/18/2022,"Proterra Operating Company, Inc.",PARKING BRAKE,Vehicle,446.0
11/18/2022,Midwest Fire Equipment & Repair Company,POWER TRAIN,Vehicle,11.0
11/17/2022,"Navistar, Inc.",ELECTRICAL SYSTEM,Vehicle,95.0
11/17/2022,"Navistar, Inc.",ELECTRICAL SYSTEM,Vehicle,149.0
11/17/2022,Lamborghini (Automobili Lamborghini),VISIBILITY,Vehicle,9.0
11/17/2022,ScentLok Technologies,EQUIPMENT,Equipment,16667.0
11/16/2022,Shyft Group,ELECTRICAL SYSTEM,Vehicle,543.0
11/15/2022,Volvo Bus Corporation,EXTERIOR LIGHTING,Vehicle,14.0
11/15/2022,Nova Bus (US) Inc.,STEERING,Vehicle,827.0
11/15/2022,"Tesla, Inc.",AIR BAGS,Vehicle,29348.0
11/15/2022,"Tesla, Inc.",EXTERIOR LIGHTING,Vehicle,321628.0
11/15/2022,Ford Motor Company,VISIBILITY,Vehicle,474561.0
11/14/2022,"Daimler Trucks North America, LLC",SEATS,Vehicle,20.0
11/11/2022,"Kia America, Inc.",HYBRID PROPULSION SYSTEM,Vehicle,27030.0
11/11/2022,Indian Motorcycle Company,"FUEL SYSTEM, GASOLINE",Vehicle,7812.0
11/10/2022,"Navistar, Inc.",WHEELS,Vehicle,10.0
11/10/2022,Toyota Motor Engineering & Manufacturing,SEAT BELTS,Equipment,93.0
11/10/2022,"Subaru of America, Inc.",SEAT BELTS,Vehicle,16.0
11/10/2022,Shyft Group,ENGINE AND ENGINE COOLING,Vehicle,34.0
11/10/2022,"Chrysler (FCA US, LLC)",POWER TRAIN,Vehicle,250079.0
11/09/2022,"Volkswagen Group of America, Inc.",ELECTRICAL SYSTEM,Vehicle,393.0
11/09/2022,"Volkswagen Group of America, Inc.",ELECTRICAL SYSTEM,Vehicle,5.0
11/09/2022,REV Recreation Group,EQUIPMENT,Vehicle,687.0
11/07/2022,Carefree Of Colorado,EQUIPMENT,Equipment,8000.0
11/07/2022,"Proterra Operating Company, Inc.",ELECTRICAL SYSTEM,Vehicle,3.0
11/04/2022,"Forest River, Inc.",EXTERIOR LIGHTING,Vehicle,2707.0
11/03/2022,Bridgestone Americas Tire Operations,TIRES,Tire,8464.0
11/03/2022,Ford Motor Company,BACK OVER PREVENTION,Vehicle,47046.0
11/03/2022,"General Motors, LLC",EXTERIOR LIGHTING,Vehicle,338735.0
11/03/2022,"Corp. Micro Bird, Inc.",STRUCTURE,Vehicle,777.0
11/02/2022,"Quality Trailers Ohio, Inc.",STRUCTURE,Vehicle,534.0
11/02/2022,International Thermal Research,"FUEL SYSTEM, DIESEL",Equipment,179.0
11/02/2022,"Volkswagen Group of America, Inc.",AIR BAGS,Vehicle,55.0
11/02/2022,"Volkswagen Group of America, Inc.",BACK OVER PREVENTION,Vehicle,2607.0
11/02/2022,"Brenner Tank, LLC",STEERING,Vehicle,3.0
11/02/2022,Bulk Tank International S. de R.L. de C.,STEERING,Vehicle,2.0
11/02/2022,"BMW of North America, LLC",VISIBILITY,Vehicle,47.0
11/01/2022,"Daimler Trucks North America, LLC",FORWARD COLLISION AVOIDANCE,Vehicle,219390.0
11/01/2022,"Tesla, Inc.",VISIBILITY,Equipment,53.0
11/01/2022,"Tesla, Inc.",STEERING,Vehicle,40168.0
10/31/2022,"Forest River, Inc.",EQUIPMENT,Vehicle,2018.0
10/31/2022,"Tiffin Motorhomes, Inc.",EQUIPMENT,Vehicle,295.0
10/31/2022,Hyundai Motor America,SEAT BELTS,Vehicle,14933.0
10/31/2022,"Volkswagen Group of America, Inc.",TIRES,Vehicle,224704.0
10/28/2022,"Corp. Micro Bird, Inc.","SERVICE BRAKES, HYDRAULIC",Vehicle,99.0
10/28/2022,"Corp. Micro Bird, Inc.","SERVICE BRAKES, HYDRAULIC",Vehicle,1.0
10/28/2022,"Yokohama Off-Highway Tires America, Inc",TIRES,Tire,119.0
10/27/2022,Hyundai Motor America,"SERVICE BRAKES, HYDRAULIC",Vehicle,44396.0
10/27/2022,"Chrysler (FCA US, LLC)",TIRES,Vehicle,44212.0
10/27/2022,Pierce Manufacturing,EQUIPMENT,Vehicle,299.0
10/26/2022,Sunset Park & RV Inc.,EQUIPMENT,Vehicle,867.0
10/26/2022,Lamborghini (Automobili Lamborghini),BACK OVER PREVENTION,Vehicle,48.0
10/26/2022,"Volkswagen Group of America, Inc.",BACK OVER PREVENTION,Vehicle,6076.0
10/26/2022,"Volkswagen Group of America, Inc.",SUSPENSION,Vehicle,33.0
10/25/2022,"Porsche Cars North America, Inc.",SEAT BELTS,Vehicle,15.0
10/24/2022,"Kia America, Inc.","SERVICE BRAKES, HYDRAULIC",Vehicle,71704.0
10/24/2022,"Gillig, LLC",STEERING,Vehicle,388.0
10/22/2022,"Bombardier Recreational Products, Inc.",ELECTRICAL SYSTEM,Vehicle,46119.0
10/21/2022,"Thule, Inc.",EQUIPMENT,Equipment,4759.0
10/21/2022,"Altec Industries, Inc.",EQUIPMENT,Vehicle,71.0
10/21/2022,"Winnebago Industries, Inc.",EQUIPMENT,Vehicle,4616.0
10/21/2022,"Tesla, Inc.",SEAT BELTS,Vehicle,24064.0
10/21/2022,"Autocar, LLC",STEERING,Vehicle,2136.0
10/21/2022,"Daimler Vans USA, LLC",POWER TRAIN,Vehicle,124305.0
10/20/2022,Carrier Corporation,EQUIPMENT,Equipment,7299.0
10/20/2022,Shyft Group,SUSPENSION,Vehicle,4.0
10/20/2022,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,26.0
10/20/2022,Ford Motor Company,ELECTRICAL SYSTEM,Vehicle,31339.0
10/20/2022,Ford Motor Company,POWER TRAIN,Vehicle,596.0
10/20/2022,"Volvo Car USA, LLC",ENGINE AND ENGINE COOLING,Vehicle,15674.0
10/20/2022,Orange EV,PARKING BRAKE,Vehicle,106.0
10/20/2022,E-One Incorporated,STEERING,Vehicle,23.0
10/19/2022,Innovative Specialties LLC,SUSPENSION,Vehicle,630.0
10/19/2022,"Kalmar Solutions, LLC",ENGINE AND ENGINE COOLING,Vehicle,9.0
10/19/2022,Thor Motor Coach,EQUIPMENT,Vehicle,69.0
10/19/2022,Shyft Group,"SERVICE BRAKES, AIR",Vehicle,540.0
10/18/2022,"Comoto Holdings, Inc.",EQUIPMENT,Equipment,2362.0
10/18/2022,PACCAR Incorporated,STEERING,Vehicle,79.0
10/18/2022,Harley-Davidson Motor Company,EXTERIOR LIGHTING,Vehicle,199419.0
10/17/2022,PACCAR Incorporated,ELECTRICAL SYSTEM,Vehicle,74730.0
10/17/2022,"Precision Industries, Inc.",ELECTRICAL SYSTEM,Vehicle,2.0
10/17/2022,"Spartan Fire, LLC",STEERING,Vehicle,225.0
10/14/2022,HD Trailer MFG. LLC,SUSPENSION,Vehicle,15.0
10/14/2022,"Jayco, Inc.",EQUIPMENT,Vehicle,2748.0
10/14/2022,Starcraft RV,EQUIPMENT,Vehicle,923.0
10/14/2022,Highland Ridge RV,EQUIPMENT,Vehicle,1907.0
10/14/2022,SAF-Holland,"SERVICE BRAKES, AIR",Equipment,10591.0
10/14/2022,Shyft Group,PARKING BRAKE,Vehicle,15.0
10/13/2022,Storyteller Overland,ELECTRICAL SYSTEM,Vehicle,58.0
10/13/2022,"Chrysler (FCA US, LLC)",SEAT BELTS,Vehicle,2802.0
10/13/2022,"Chrysler (FCA US, LLC)",ENGINE,Equipment,184.0
10/13/2022,"Chrysler (FCA US, LLC)",ENGINE,Vehicle,60413.0
10/13/2022,"General Motors, LLC",ELECTRICAL SYSTEM,Vehicle,797.0
10/13/2022,"Jayco, Inc.","FUEL SYSTEM, GASOLINE",Vehicle,42.0
10/13/2022,"Nissan North America, Inc.",BACK OVER PREVENTION,Vehicle,27344.0
10/13/2022,"Chrysler (FCA US, LLC)",ELECTRICAL SYSTEM,Vehicle,13722.0
10/12/2022,"Volkswagen Group of America, Inc.",BACK OVER PREVENTION,Vehicle,5.0
10/12/2022,Blue Bird Body Company,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,20.0
10/12/2022,"Daimler Trucks North America, LLC",STRUCTURE,Vehicle,17613.0
10/11/2022,Alamo Group Inc.,EQUIPMENT,Vehicle,3.0
10/11/2022,"Chrysler (FCA US, LLC)","SERVICE BRAKES, HYDRAULIC",Equipment,183.0
10/11/2022,"Chrysler (FCA US, LLC)","SERVICE BRAKES, HYDRAULIC",Vehicle,26961.0
10/11/2022,"Kia America, Inc.",POWER TRAIN,Vehicle,69038.0
10/10/2022,Fontaine Modification,EQUIPMENT,Vehicle,56.0
10/10/2022,Wabash National Corporation,STRUCTURE,Vehicle,740.0
10/09/2022,"KZRV, L.P.",STRUCTURE,Vehicle,42.0
10/08/2022,Riverside RV,EQUIPMENT,Vehicle,826.0
10/07/2022,"Forest River, Inc.",EQUIPMENT,Vehicle,25.0
10/07/2022,"BMW of North America, LLC",POWER TRAIN,Vehicle,951.0
10/07/2022,"Volkswagen Group of America, Inc.",ENGINE AND ENGINE COOLING,Vehicle,74067.0
10/07/2022,Newmar Corporation,"SERVICE BRAKES, HYDRAULIC",Vehicle,32.0
10/07/2022,Newmar Corporation,EQUIPMENT,Vehicle,179.0
10/07/2022,"BMW of North America, LLC",BACK OVER PREVENTION,Vehicle,1296.0
10/07/2022,Shyft Group,POWER TRAIN,Vehicle,451.0
10/06/2022,Harley-Davidson Motor Company,STEERING,Vehicle,862.0
10/06/2022,Hyundai Motor America,POWER TRAIN,Vehicle,56148.0
10/06/2022,"Rivian Automotive, LLC",STEERING,Vehicle,12212.0
10/05/2022,"Bentley Motors, Inc.",BACK OVER PREVENTION,Vehicle,3134.0
10/05/2022,Blue Bird Body Company,ENGINE,Vehicle,2559.0
10/05/2022,Blue Bird Body Company,ENGINE,Vehicle,25.0
10/05/2022,"Volkswagen Group of America, Inc.",BACK OVER PREVENTION,Vehicle,170296.0
10/05/2022,"BMW of North America, LLC",ELECTRICAL SYSTEM,Vehicle,1.0
10/04/2022,"Forest River, Inc.",ELECTRICAL SYSTEM,Vehicle,962.0
10/04/2022,Blue Bird Body Company,"FUEL SYSTEM, OTHER",Vehicle,66.0
10/04/2022,"Contract Manufacturer, LLC",SUSPENSION,Vehicle,142.0
10/03/2022,East Texas Trailer,SUSPENSION,Vehicle,3.0
09/30/2022,"Mercedes-Benz USA, LLC",ELECTRICAL SYSTEM,Vehicle,19968.0
09/30/2022,"Forest River, Inc.",EQUIPMENT,Vehicle,5168.0
09/30/2022,Keystone RV Company,SUSPENSION,Vehicle,721.0
09/30/2022,Great Dane Trailers,"SERVICE BRAKES, AIR",Vehicle,2439.0
09/30/2022,Braun Ambulances,LATCHES/LOCKS/LINKAGES,Vehicle,1240.0
09/30/2022,Ford Motor Company,SUSPENSION,Vehicle,26910.0
09/30/2022,"Mercedes-Benz USA, LLC",SEATS,Vehicle,59574.0
09/30/2022,"Meritor, Inc.",STEERING,Equipment,1601.0
09/30/2022,Ford Motor Company,EXTERIOR LIGHTING,Vehicle,11239.0
09/29/2022,"Chrysler (FCA US, LLC)",EXTERIOR LIGHTING,Equipment,30785.0
09/29/2022,"Chrysler (FCA US, LLC)",EXTERIOR LIGHTING,Vehicle,83453.0
09/29/2022,"BMW of North America, LLC",EXTERIOR LIGHTING,Vehicle,3315.0
09/29/2022,"Lucid USA, Inc.",STRUCTURE,Vehicle,571.0
09/29/2022,Keystone RV Company,EQUIPMENT,Vehicle,9678.0
09/29/2022,"General Motors, LLC",SEATS,Vehicle,6895.0
09/29/2022,"Power Solutions International, Inc.",ENGINE AND ENGINE COOLING,Equipment,8046.0
09/28/2022,"BMW of North America, LLC",EXTERIOR LIGHTING,Vehicle,2.0
09/28/2022,"Daimler Trucks North America, LLC",STEERING,Vehicle,36.0
09/27/2022,Lightning eMotors Inc.,ELECTRICAL SYSTEM,Vehicle,226.0
09/27/2022,Haldex Commercial Vehicle Systems,"SERVICE BRAKES, AIR",Equipment,30469.0
09/27/2022,MANCHESTER TANK & EQUIPMENT CO,EQUIPMENT,Equipment,6500.0
09/26/2022,"Volkswagen Group of America, Inc.","SERVICE BRAKES, HYDRAULIC",Vehicle,555.0
09/26/2022,"Seagrave Fire Apparatus, LLC",STEERING,Vehicle,9.0
09/26/2022,Doosan Portable Power,POWER TRAIN,Vehicle,702.0
09/23/2022,"McNeilus Truck & Manufacturing, Inc.",EQUIPMENT,Vehicle,1140.0
09/23/2022,"Corp. Micro Bird, Inc.",ELECTRICAL SYSTEM,Vehicle,45.0
09/23/2022,"Corp. Micro Bird, Inc.",ELECTRICAL SYSTEM,Vehicle,2753.0
09/22/2022,"General Motors, LLC",ELECTRICAL SYSTEM,Vehicle,186.0
09/22/2022,"General Motors, LLC",EQUIPMENT,Vehicle,24.0
09/22/2022,"Osage Industries, Inc.",ELECTRICAL SYSTEM,Vehicle,14.0
09/22/2022,"General Motors, LLC",BACK OVER PREVENTION,Vehicle,95231.0
09/22/2022,"Navistar, Inc.",STEERING,Vehicle,451.0
09/22/2022,"Subaru of America, Inc.",VISIBILITY,Vehicle,42.0
09/21/2022,Skinny Guy Campers LLC,EQUIPMENT,Equipment,17.0
09/21/2022,Volvo Trucks North America,ELECTRICAL SYSTEM,Vehicle,8.0
09/21/2022,"Mack Trucks, Inc.",ELECTRICAL SYSTEM,Vehicle,1.0
09/21/2022,"Volkswagen Group of America, Inc.",ENGINE AND ENGINE COOLING,Vehicle,8038.0
09/21/2022,Dexter Axle Company,STEERING,Equipment,81.0
09/20/2022,"ZF North America, Inc.","SERVICE BRAKES, HYDRAULIC",Equipment,137.0
09/20/2022,Ducati North America,ENGINE AND ENGINE COOLING,Vehicle,1586.0
09/19/2022,"Blackbeards Motorcycle Gear, Inc.",EQUIPMENT,Equipment,522.0
09/19/2022,"Liquid Transport, Inc",POWER TRAIN,Vehicle,3.0
09/19/2022,Collins Bus Corporation,EQUIPMENT,Vehicle,3514.0
09/19/2022,Prevost Car (US) Inc.,SEAT BELTS,Vehicle,255.0
09/19/2022,"Tesla, Inc.",VISIBILITY,Vehicle,1096762.0
09/19/2022,"Volkswagen Group of America, Inc.",VISIBILITY,Vehicle,4.0
09/19/2022,"Kia America, Inc.",TRAILER HITCHES,Vehicle,70887.0
09/16/2022,"Winnebago Industries, Inc.",EQUIPMENT,Vehicle,5084.0
09/16/2022,"Winnebago Industries, Inc.",EQUIPMENT,Vehicle,6540.0
09/16/2022,"Forest River, Inc.",EQUIPMENT,Vehicle,284.0
09/16/2022,"Autocar, LLC",STEERING,Vehicle,236.0
09/15/2022,"Corp. Micro Bird, Inc.",ELECTRICAL SYSTEM,Vehicle,7.0
09/15/2022,"Navistar, Inc.",ENGINE,Vehicle,7918.0
09/15/2022,"Nissan North America, Inc.",STEERING,Vehicle,20040.0
09/15/2022,"Excellance, Inc",ELECTRICAL SYSTEM,Vehicle,3.0
09/14/2022,"Volkswagen Group of America, Inc.",ENGINE AND ENGINE COOLING,Vehicle,2.0
09/14/2022,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,69.0
09/14/2022,Ford Motor Company,AIR BAGS,Vehicle,74.0
09/14/2022,Nikola Corporation,SEAT BELTS,Vehicle,93.0
09/14/2022,"Sumitomo Rubber USA, LLC",TIRES,Tire,5814.0
09/14/2022,Lippert,SUSPENSION,Equipment,404.0
09/14/2022,"Daimler Trucks North America, LLC",STRUCTURE,Vehicle,1259.0
09/14/2022,Ford Motor Company,EXTERIOR LIGHTING,Vehicle,86050.0
09/13/2022,"BMW of North America, LLC",ELECTRICAL SYSTEM,Vehicle,16.0
09/12/2022,"Mercedes-Benz USA, LLC",ELECTRONIC STABILITY CONTROL,Vehicle,4.0
09/12/2022,"Spartan Fire, LLC",PARKING BRAKE,Vehicle,8.0
09/12/2022,"Daimler Trucks North America, LLC",STEERING,Vehicle,200.0
09/12/2022,Farber Specialty Vehicles,ELECTRICAL SYSTEM,Vehicle,1.0
09/12/2022,"Mercedes-Benz USA, LLC",STRUCTURE,Vehicle,161000.0
09/12/2022,"Mercedes-Benz USA, LLC",ELECTRICAL SYSTEM,Vehicle,6752.0
09/08/2022,"Volkswagen Group of America, Inc.","FUEL SYSTEM, GASOLINE",Vehicle,13004.0
09/08/2022,"BMW of North America, LLC",ELECTRICAL SYSTEM,Vehicle,252.0
09/08/2022,"Terex South Dakota, Inc.",EQUIPMENT,Vehicle,194.0
09/08/2022,Ford Motor Company,WHEELS,Vehicle,1519.0
09/07/2022,"BMW of North America, LLC",SEATS,Vehicle,246.0
09/07/2022,"Nissan North America, Inc.",POWER TRAIN,Vehicle,197230.0
09/06/2022,Keystone RV Company,ELECTRICAL SYSTEM,Vehicle,536.0
09/06/2022,Alamo Group Inc.,EQUIPMENT,Vehicle,150.0
09/06/2022,"Forest River, Inc.",STRUCTURE,Vehicle,49.0
09/01/2022,Vermeer Manufacturing Company,STRUCTURE,Vehicle,45.0
09/01/2022,Honda (American Honda Motor Co.),ENGINE AND ENGINE COOLING,Vehicle,1561.0
09/01/2022,Toyota Motor Engineering & Manufacturing,"SERVICE BRAKES, HYDRAULIC",Vehicle,83725.0
09/01/2022,"Nissan North America, Inc.",SEAT BELTS,Vehicle,8391.0
09/01/2022,"Jayco, Inc.",SUSPENSION,Vehicle,245.0
09/01/2022,"Jayco, Inc.",ENGINE,Vehicle,856.0
08/31/2022,"Nissan North America, Inc.","FUEL SYSTEM, GASOLINE",Vehicle,190.0
08/31/2022,"Jayco, Inc.",EQUIPMENT,Vehicle,45.0
08/31/2022,"Volkswagen Group of America, Inc.",TRAILER HITCHES,Vehicle,3184.0
08/31/2022,Shyft Group,STRUCTURE,Vehicle,2139.0
08/30/2022,"Porsche Cars North America, Inc.",EXTERIOR LIGHTING,Vehicle,222858.0
08/30/2022,REV Recreation Group,SUSPENSION,Vehicle,4395.0
08/30/2022,Oshkosh Corporation,STEERING,Equipment,143.0
08/29/2022,"Volkswagen Group of America, Inc.",AIR BAGS,Vehicle,4117.0
08/29/2022,"Daimler Trucks North America, LLC",STRUCTURE,Vehicle,3498.0
08/29/2022,Roadtrek Inc.,SEATS,Vehicle,36.0
08/29/2022,Wayfarer,WHEELS,Vehicle,9.0
08/29/2022,DRV Suites,EXTERIOR LIGHTING,Vehicle,491.0
08/29/2022,"Kia America, Inc.",ELECTRICAL SYSTEM,Vehicle,19701.0
08/29/2022,Cruise LLC,ELECTRICAL SYSTEM,Equipment,80.0
08/26/2022,Ford Motor Company,ELECTRICAL SYSTEM,Vehicle,198482.0
